time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/n_updates,train/loss
1145,6791,100.0,7782400,0.05,0.47,77824,0.0001,1933099,0.0008807003614492714
1145,6792,100.0,7782800,0.05,0.47,77828,0.0001,1933199,0.0010544325923547149
1145,6792,100.0,7783200,0.05,0.47,77832,0.0001,1933299,2.8164537070551887e-05
1145,6792,100.0,7783600,0.05,0.5,77836,0.0001,1933399,0.0010862647322937846
1145,6793,100.0,7784000,0.05,0.51,77840,0.0001,1933499,4.5611268433276564e-05
1145,6793,100.0,7784400,0.05,0.52,77844,0.0001,1933599,2.6686646378948353e-05
1145,6793,100.0,7784800,0.05,0.54,77848,0.0001,1933699,0.00012355309445410967
1145,6794,100.0,7785200,0.05,0.55,77852,0.0001,1933799,0.0013931506546214223
1145,6794,100.0,7785600,0.05,0.55,77856,0.0001,1933899,0.0015314242336899042
1145,6795,100.0,7786000,0.05,0.57,77860,0.0001,1933999,0.0012653885642066598
1145,6795,100.0,7786400,0.05,0.58,77864,0.0001,1934099,0.0002778932685032487
1145,6795,100.0,7786800,0.05,0.59,77868,0.0001,1934199,0.001239266013726592
1145,6796,100.0,7787200,0.05,0.57,77872,0.0001,1934299,8.828347199596465e-05
1145,6796,100.0,7787600,0.05,0.56,77876,0.0001,1934399,0.0010872476268559694
1145,6796,100.0,7788000,0.05,0.55,77880,0.0001,1934499,0.0001326363126281649
1145,6797,100.0,7788400,0.05,0.55,77884,0.0001,1934599,0.0011882235994562507
1145,6797,100.0,7788800,0.05,0.58,77888,0.0001,1934699,4.100909427506849e-05
1145,6797,100.0,7789200,0.05,0.56,77892,0.0001,1934799,9.078302537091076e-05
1145,6798,100.0,7789600,0.05,0.54,77896,0.0001,1934899,4.623687345883809e-05
1145,6798,100.0,7790000,0.05,0.53,77900,0.0001,1934999,0.00014377530897036195
1145,6799,100.0,7790400,0.05,0.51,77904,0.0001,1935099,0.001065508578903973
1145,6799,100.0,7790800,0.05,0.52,77908,0.0001,1935199,0.0010828571394085884
1145,6799,100.0,7791200,0.05,0.53,77912,0.0001,1935299,0.0002759478520601988
1145,6800,100.0,7791600,0.05,0.56,77916,0.0001,1935399,0.0021599838510155678
1145,6800,100.0,7792000,0.05,0.57,77920,0.0001,1935499,3.837488475255668e-05
1145,6800,100.0,7792400,0.05,0.56,77924,0.0001,1935599,0.00021785669378004968
1145,6801,100.0,7792800,0.05,0.54,77928,0.0001,1935699,3.3631666155997664e-05
1145,6801,100.0,7793200,0.05,0.55,77932,0.0001,1935799,0.0001438572071492672
1145,6801,100.0,7793600,0.05,0.53,77936,0.0001,1935899,2.3058641090756282e-05
1145,6802,100.0,7794000,0.05,0.53,77940,0.0001,1935999,0.00014629990619141608
1145,6802,100.0,7794400,0.05,0.53,77944,0.0001,1936099,0.0023616282269358635
1145,6803,100.0,7794800,0.05,0.52,77948,0.0001,1936199,2.873152516258415e-05
1145,6803,100.0,7795200,0.05,0.51,77952,0.0001,1936299,0.00015009069466032088
1145,6803,100.0,7795600,0.05,0.51,77956,0.0001,1936399,0.00010880858462769538
1145,6804,100.0,7796000,0.05,0.5,77960,0.0001,1936499,8.521187555743381e-05
1145,6804,100.0,7796400,0.05,0.5,77964,0.0001,1936599,3.9073995139915496e-05
1145,6804,100.0,7796800,0.05,0.5,77968,0.0001,1936699,2.3747059458401054e-05
1145,6805,100.0,7797200,0.05,0.5,77972,0.0001,1936799,3.5369164834264666e-05
1145,6805,100.0,7797600,0.05,0.48,77976,0.0001,1936899,0.0010652869241312146
1145,6805,100.0,7798000,0.05,0.48,77980,0.0001,1936999,3.7500951293623075e-05
1145,6806,100.0,7798400,0.05,0.49,77984,0.0001,1937099,3.9921218558447435e-05
1145,6806,100.0,7798800,0.05,0.46,77988,0.0001,1937199,0.001319697592407465
1145,6807,100.0,7799200,0.05,0.47,77992,0.0001,1937299,0.00014835542242508382
1145,6807,100.0,7799600,0.05,0.47,77996,0.0001,1937399,9.826546011026949e-05
1145,6807,100.0,7800000,0.05,0.47,78000,0.0001,1937499,0.0012364793801680207
1145,6808,100.0,7800400,0.05,0.49,78004,0.0001,1937599,3.517063305480406e-05
1145,6808,100.0,7800800,0.05,0.49,78008,0.0001,1937699,1.2512162356870249e-05
1145,6808,100.0,7801200,0.05,0.5,78012,0.0001,1937799,0.00012188606342533603
1145,6809,100.0,7801600,0.05,0.5,78016,0.0001,1937899,0.00011437739158282056
1145,6809,100.0,7802000,0.05,0.52,78020,0.0001,1937999,0.0003250150475651026
1145,6809,100.0,7802400,0.05,0.52,78024,0.0001,1938099,0.0010995708871632814
1145,6810,100.0,7802800,0.05,0.52,78028,0.0001,1938199,9.500507439952344e-05
1145,6810,100.0,7803200,0.05,0.5,78032,0.0001,1938299,6.386412132997066e-05
1145,6811,100.0,7803600,0.05,0.51,78036,0.0001,1938399,0.0001596656657056883
1145,6811,100.0,7804000,0.05,0.47,78040,0.0001,1938499,2.6835994503926486e-05
1145,6811,100.0,7804400,0.05,0.47,78044,0.0001,1938599,3.176931568305008e-05
1145,6812,100.0,7804800,0.05,0.48,78048,0.0001,1938699,0.0010869648540392518
1145,6812,100.0,7805200,0.05,0.49,78052,0.0001,1938799,4.797110159415752e-05
1145,6812,100.0,7805600,0.05,0.49,78056,0.0001,1938899,5.350239371182397e-05
1145,6813,100.0,7806000,0.05,0.49,78060,0.0001,1938999,0.0002495879016350955
1145,6813,100.0,7806400,0.05,0.49,78064,0.0001,1939099,0.0015322670806199312
1145,6813,100.0,7806800,0.05,0.48,78068,0.0001,1939199,0.0003540341858752072
1145,6814,100.0,7807200,0.05,0.47,78072,0.0001,1939299,0.0012067884672433138
1145,6814,100.0,7807600,0.05,0.48,78076,0.0001,1939399,0.0013349655782803893
1145,6815,100.0,7808000,0.05,0.47,78080,0.0001,1939499,5.13691920787096e-05
1145,6815,100.0,7808400,0.05,0.45,78084,0.0001,1939599,0.0021023163571953773
1145,6815,100.0,7808800,0.05,0.44,78088,0.0001,1939699,0.0010837792651727796
1145,6816,100.0,7809200,0.05,0.42,78092,0.0001,1939799,0.0008529218612238765
1145,6816,100.0,7809600,0.05,0.41,78096,0.0001,1939899,0.0010633307974785566
1145,6816,100.0,7810000,0.05,0.42,78100,0.0001,1939999,4.8757996410131454e-05
1145,6817,100.0,7810400,0.05,0.41,78104,0.0001,1940099,0.0011227468494325876
1145,6817,100.0,7810800,0.05,0.42,78108,0.0001,1940199,0.0012458243872970343
1145,6817,100.0,7811200,0.05,0.4,78112,0.0001,1940299,5.1253431593067944e-05
1145,6818,100.0,7811600,0.05,0.39,78116,0.0001,1940399,5.98227052250877e-05
1145,6818,100.0,7812000,0.05,0.37,78120,0.0001,1940499,0.0010904568480327725
1145,6819,100.0,7812400,0.05,0.37,78124,0.0001,1940599,2.939147816505283e-05
1145,6819,100.0,7812800,0.05,0.39,78128,0.0001,1940699,0.00014383876987267286
1145,6819,100.0,7813200,0.05,0.41,78132,0.0001,1940799,0.0008821358787827194
1145,6820,100.0,7813600,0.05,0.42,78136,0.0001,1940899,0.0011577131226658821
1145,6820,100.0,7814000,0.05,0.43,78140,0.0001,1940999,1.236185198649764e-05
1145,6820,100.0,7814400,0.05,0.42,78144,0.0001,1941099,0.0011407412821426988
1145,6821,100.0,7814800,0.05,0.4,78148,0.0001,1941199,6.253027822822332e-05
1145,6821,100.0,7815200,0.05,0.39,78152,0.0001,1941299,4.937795893056318e-05
1145,6821,100.0,7815600,0.05,0.4,78156,0.0001,1941399,0.00033394023193977773
1145,6822,100.0,7816000,0.05,0.42,78160,0.0001,1941499,0.001146111055277288
1145,6822,100.0,7816400,0.05,0.41,78164,0.0001,1941599,0.00010342698806198314
1145,6823,100.0,7816800,0.05,0.42,78168,0.0001,1941699,0.00010844706412171945
1145,6823,100.0,7817200,0.05,0.44,78172,0.0001,1941799,0.0002284057845827192
1145,6823,100.0,7817600,0.05,0.44,78176,0.0001,1941899,0.002039561979472637
1145,6824,100.0,7818000,0.05,0.44,78180,0.0001,1941999,2.2299729607766494e-05
1145,6824,100.0,7818400,0.05,0.44,78184,0.0001,1942099,0.00012970333045814186
1145,6824,100.0,7818800,0.05,0.47,78188,0.0001,1942199,0.00039823591941967607
1145,6825,100.0,7819200,0.05,0.48,78192,0.0001,1942299,0.001110109849832952
1145,6825,100.0,7819600,0.05,0.51,78196,0.0001,1942399,7.218858081614599e-05
1145,6825,100.0,7820000,0.05,0.5,78200,0.0001,1942499,1.555474773340393e-05
1145,6826,100.0,7820400,0.05,0.5,78204,0.0001,1942599,0.0013618804514408112
1145,6826,100.0,7820800,0.05,0.51,78208,0.0001,1942699,0.0015026333276182413
1145,6827,100.0,7821200,0.05,0.51,78212,0.0001,1942799,0.0007289095665328205
1145,6827,100.0,7821600,0.05,0.49,78216,0.0001,1942899,0.0009549983078613877
1145,6827,100.0,7822000,0.05,0.48,78220,0.0001,1942999,2.3477339709643275e-05
1145,6828,100.0,7822400,0.05,0.48,78224,0.0001,1943099,0.0010954000754281878
1145,6828,100.0,7822800,0.05,0.46,78228,0.0001,1943199,0.0003364334988873452
1145,6828,100.0,7823200,0.05,0.44,78232,0.0001,1943299,0.0003944154013879597
1145,6829,100.0,7823600,0.05,0.43,78236,0.0001,1943399,0.001254111877642572
1145,6829,100.0,7824000,0.05,0.44,78240,0.0001,1943499,1.715434882498812e-05
1145,6829,100.0,7824400,0.05,0.44,78244,0.0001,1943599,0.0002759684284683317
1145,6830,100.0,7824800,0.05,0.44,78248,0.0001,1943699,3.40160186169669e-05
1145,6830,100.0,7825200,0.05,0.45,78252,0.0001,1943799,1.9050270566367544e-05
1145,6831,100.0,7825600,0.05,0.44,78256,0.0001,1943899,8.124361556838267e-06
1145,6831,100.0,7826000,0.05,0.43,78260,0.0001,1943999,5.29532007931266e-05
1145,6831,100.0,7826400,0.05,0.44,78264,0.0001,1944099,5.613508983515203e-05
1145,6832,100.0,7826800,0.05,0.43,78268,0.0001,1944199,5.047043669037521e-05
1145,6832,100.0,7827200,0.05,0.41,78272,0.0001,1944299,0.0010771455708891153
1145,6832,100.0,7827600,0.05,0.43,78276,0.0001,1944399,0.0009022470912896097
1145,6833,100.0,7828000,0.05,0.43,78280,0.0001,1944499,0.0015705381520092487
1145,6833,100.0,7828400,0.05,0.43,78284,0.0001,1944599,0.0013536191545426846
1145,6833,100.0,7828800,0.05,0.41,78288,0.0001,1944699,0.0024363300763070583
1145,6834,100.0,7829200,0.05,0.41,78292,0.0001,1944799,0.0012213214067742229
1145,6834,100.0,7829600,0.05,0.38,78296,0.0001,1944899,0.0011497103841975331
1145,6835,100.0,7830000,0.05,0.4,78300,0.0001,1944999,3.333973654662259e-05
